id,fun_question,note
1054,"Trong khoảng từ T1/2025 - T7/2025, thì biến động defect rate theo chu kỳ của các dự án của TTPMVT diễn biến ra sao",
1084,"Trong khoảng từ T1/2025 - T7/2025, thì biến động leakage rate theo chu kỳ của các dự án của TTPMTCS diễn biến ra sao",
1021,"Trong T01/2025 -> T12/2025 thì cho biết với loại dự án là Package của công ty thì có SLNT(PMO) theo thực hiện và kế hoạch là bao nhiêu MM, đồng thời cũng cho biết tỉ lệ % giữa TH và KH.",
1066,Trong T12/2025 có bao nhiêu dự án có Leakage rate,
1072,Trong T11/2025 thì leakage rate lũy kế liền kề của TTPMQT là bao nhiêu,
1015,Trong T01/2025 -> T12/2025 thì cho biết với loại dự án là T&M của công ty thì có SLNT(PMO) là bao nhiêu MM.,
1069,Trong T11/2025 thì leakage rate lũy kế của TTPMQT là bao nhiêu,
1129,"Trong T11/2025, thì chi tiết free effort theo RA role DEV là bao nhiêu MM",
1042,Trong T10/2025 thì defect rate lũy kế kỳ liền kề của TTPMVT là bao nhiêu,
1138,"Trong khoảng từ T6/2025 - T12/2025, thì số nhân sự được tuyển mới theo năm của công ty là bao nhiêu",
1063,"Trong T11/2025, tôi muốn xem các thông số defect rate lũy kế trong kỳ của 2 dự án BU05.VTC.IPS và BU05.VTT.MyViettel có các giá trị như nào",
1009,Trong T01/2025 -> T12/2025 thì cho biết với loại dự án là Presales của công ty thì có SLSX là bao nhiêu MM,
1060,"Trong T10/2025, tôi muốn xem các thông số defect rate trong kỳ của dự án BU05.VTT.MyViettel có các giá trị như nào",
1108,"Trong T12/2025, tôi muốn xem chỉ số SOC của TTCN có dữ liệu ra sao",
1093,"Trong T11/2025, tôi muốn xem các thông số leakage rate lũy kế trong kỳ của 2 dự án BU05.VTC.IPS và BU05.VTT.MyViettel có các giá trị như nào",
1036,Trong T12/2025 có bao nhiêu dự án có Defect rate,
1051,Trong T10/2025 thì defect rate với loại dự án package của TTPMVT là bao nhiêu,
1048,Trong T11/2025 thì defect rate của TTPMCNM là bao nhiêu,
1123,"Trong Quý 2/2025, thì RU theo thời gian của TTPMVT là như nào",
1099,"Trong năm 2025, tôi muốn xem TTPMTCS có cơ cấu lao động theo level là như nào",
1003,Trong Quý 4/2025 thì Cả công ty có bao nhiêu dự án.,
1111,"Trong quý 3/2025, tôi muốn xem tổng RA theo thời gian của TTPMTCS là bao nhiêu",
1018,"Trong T01/2025 -> T12/2025 thì cho biết với loại dự án là Package của công ty thì có SLSX theo thực hiện và kế hoạch là bao nhiêu MM, đồng thời cũng cho biết tỉ lệ % giữa TH và KH.",
1105,"Trong T11/2025, tôi muốn xem ở TTPMVT, tỉ lệ pha loãng theo dự án với loại dự án package có tỉ lệ là bao nhiêu %",
1081,"Trong T11/2025 thì giá trị leakage rate theo loại các dự án presale với trạng thái closed, của TTPMCNM là bao nhiêu",
1114,"Trong quý 4/2025, tôi muốn xem tổng RA của TTPMVT là bao nhiêu",
701,"Cho ma trận hiệp phương sai S của dữ liệu đã chuẩn hoá có các trị riêng λ1=5,λ2=2,λ3=1,λ4=0.5\lambda_1=5, \lambda_2=2, \lambda_3=1, \lambda_4=0.5λ1​=5,λ2​=2,λ3​=1,λ4​=0.5 (giảm dần). Nếu chọn K=2K=2K=2 thành phần chính, tỉ lệ phương sai được giữ lại là bao nhiêu?","A, 0.824
 B, 0.588
 C, 1.167
 D, 0.235"
702,Tên gọi riêng cho đỉnh bậc 0 và đỉnh bậc 1 trong đồ thị vô hướng là?,"A, Đỉnh cô đơn, đỉnh lẻ
 B, Đỉnh cô lập, đỉnh treo
 C, Đỉnh cô đơn, đỉnh treo
 D, Đỉnh cô lập, đỉnh lẻ"
703,Cơ chế lưu trữ năng lượng của siêu tụ điện dựa trên gì?,"A, Phản ứng hóa học
 B, Tích tụ ion ở bề mặt điện cực tạo điện trường
 C, Phóng xạ
 D, Đốt cháy nhiên liệu"
704,Một pixel của ảnh xám có thể nhận giá trị tối thiểu và tối đa lần lượt là?,"A, 0 và 127
 B, -127 và 127
 C, 0 và 255
 D, 0 và 1048576"
705,"Nếu trong quá trình khoan, cao độ dung dịch khoan phải luôn cao hơn mực nước ngầm ít nhất 1,5 m, giả sử mực nước ngầm ở -10 m thì cao độ dung dịch khoan tối thiểu phải đạt bao nhiêu?","A, -11,5 m
 B, -8,5 m
 C, -6,0 m
 D, -5,0 m"
706,Nội dung chính của bài báo là gì?,"A, Đánh giá chuyển đổi số tại ngân hàng thương mại
 B, Giới thiệu công nghệ OCR và thử nghiệm FPT.AI Reader cho số hóa tài liệu tại Học viện Ngân hàng
 C, Xây dựng hệ thống ERP cho giáo dục
 D, Nghiên cứu ứng dụng AI trong tài chính"
707,SASRec và BERT4Rec khác nhau chủ yếu ở những điểm nào?,"A, Cả hai đều là mô hình unidirectional và dùng next-item prediction
 B, SASRec unidirectional – Next-item prediction, BERT4Rec bidirectional – Cloze objective
 C, SASRec dùng CNN, BERT4Rec dùng RNN
 D, SASRec không dùng embedding, BERT4Rec dùng embedding"
708,"Trong giải thuật DES, kích thước hiệu dụng của khóa là bao nhiêu bit?","A, 48 bit
 B, 56 bit
 C, 64 bit
 D, 128 bit"
709,Nội dung chính của phần 1 tài liệu Public_107 về Gradient Descent là gì?,"A, Giới thiệu công thức tổng quát của tất cả biến thể GD
 B, Chỉ tập trung vào ứng dụng GD trong mạng nơ-ron sâu
 C, Phân tích chi tiết các thuật toán tối ưu bậc hai
 D, Trình bày ý tưởng, nguyên lý cơ bản và ví dụ minh họa của Gradient Descent"
710,Cảm biến nào giúp robot điều chỉnh lực cầm nắm chính xác?,"A, Camera RGB
 B, LiDAR
 C, Radar mmWave
 D, Cảm biến xúc giác và lực"
711,"Theo tài liệu, để thêm nhãn dữ liệu trong Tableau, bước đầu tiên cần thực hiện là gì?","A, Chọn New Label trực tiếp trên sheet
 B, Click chọn Data Labels > New Label 
 C, Vào mục Settings > Labels
 D, Chọn Groups > Add Label"
712,Mục đích chính của việc xây dựng Cổng kết nối dịch vụ chứng thực chữ ký số công cộng là gì?,"A, Để thay thế toàn bộ hệ thống email của cơ quan nhà nước.
 B, Để kết nối dịch vụ chứng thực chữ ký số công cộng với các hệ thống thông tin, đảm bảo tính xác thực, toàn vẹn và chống chối bỏ của thông điệp dữ liệu.
 C, Để quản lý hồ sơ nhân sự điện tử.
 D, Để đồng bộ dữ liệu giữa các cơ quan thuế và hải quan."
713,Thông tư Public_257 quy định những yêu cầu kỹ thuật nào đối với phần mềm ký số và phần mềm kiểm tra chữ ký số?,"A, Chứng thư chữ ký số phải có hiệu lực tại thời điểm ký; chữ ký số được tạo bởi khóa bí mật tương ứng với khóa công khai; tính toàn vẹn của thông điệp dữ liệu được bảo đảm bằng so sánh mã băm.
 B, Chứng thư chữ ký số không cần kiểm tra trạng thái thu hồi; chỉ cần xác thực chủ thể ký là đủ.
 C, Phần mềm ký số có thể bỏ qua yêu cầu tích hợp chứng thư chữ ký số thuộc Danh sách tin cậy nước ngoài, miễn là có chứng thư chữ ký số quốc gia.
 D, Tính hợp lệ của chữ ký số chỉ cần đảm bảo khi giao dịch quốc tế; giao dịch trong nước không bắt buộc tuân thủ các tiêu chí này."
714,Tác dụng bất lợi và chống chỉ định khi sử dụng thiết bị AirStart 10 ?,"A, Điều trị áp lực đường thở dương có thể được chống chỉ định ở một số bệnh nhân có các bệnh lý từ trước dưới đây:
 ·bệnh kén khí phổi nặng
 ·tràn khí màng phổi
 ·huyết áp thấp bệnh lý
 ·mất nước
 ·rò rỉ dịch não tủy, phẫu thuật sọ não gần đây hoặc chấn thương. 
 Tác dụng bất lợi
 Quý vị nên báo cáo cho bác sĩ kê đơn của mình nếu bị đau ngực bất thường, đau đầu dữ dội hoặc khó thở tăng dần. Có thể phải tạm thời ngừng điều trị nếu bệnh nhân bị nhiễm trùng cấp tính đường hô hấp trên.
 B, Điều trị áp lực đường thở dương có thể được chống chỉ định ở một số bệnh nhân có các bệnh lý từ trước dưới đây:
 ·bệnh kén khí phổi nặng
 ·tràn khí màng phổi
 ·huyết áp thấp bệnh lý
 ·mất nước
  Tác dụng bất lợi
 Quý vị nên báo cáo cho bác sĩ kê đơn của mình nếu bị đau ngực bất thường, đau đầu dữ dội hoặc khó thở tăng dần. Có thể phải tạm thời ngừng điều trị nếu bệnh nhân bị nhiễm trùng cấp tính đường hô hấp trên.
 C, Điều trị áp lực đường thở dương có thể được chống chỉ định ở một số bệnh nhân có các bệnh lý từ trước dưới đây:
 ·tràn khí màng phổi
 ·huyết áp thấp bệnh lý
 ·mất nước
  Tác dụng bất lợi
 Quý vị nên báo cáo cho bác sĩ kê đơn của mình nếu bị đau ngực bất thường, đau đầu dữ dội hoặc khó thở tăng dần. Có thể phải tạm thời ngừng điều trị nếu bệnh nhân bị nhiễm trùng cấp tính đường hô hấp trên.
 D, Điều trị áp lực đường thở dương có thể được chống chỉ định ở một số bệnh nhân có các bệnh lý từ trước dưới đây:
 ·tràn khí màng phổi
 ·huyết áp thấp bệnh lý
 ·mất nước
  Tác dụng bất lợi
 Quý vị nên tự ý sử dụng tiếp nếu bị đau ngực bất thường, đau đầu dữ dội hoặc khó thở tăng dần."
715,Đâu không phải khẳng định đúng về các đặc tính của thuật toán được đề cập trong tài liệu Public_049?,"A, Thuật toán phải rõ ràng, không nhập nhằng
 B, Thuật toán không được chạy vô hạn
 C, Thuật toán phải được thiết kế đặc thù, chuyên sâu thay vì tổng quát
 D, Thuật toán nên dễ hiểu, dễ cài đặt"
716,"Theo tài liệu Public_163, phiên bản TLS nào được sử dụng rộng rãi nhất?","A, 1.0
 B, 1.1
 C, 1.2
 D, 1.3"
717,Thách thức lớn nhất để triển khai đại trà giao thông hydro?,"A, Chi phí sản xuất và hạ tầng trạm nạp còn cao
 B, Nhiệt độ thấp
 C, Khó lưu trữ CO₂
 D, Thiếu pin lithium"
718,Mô hình nào sử dụng self-attention để thay thế RNN trong hệ gợi ý tuần tự?,"A, GRU4Rec
 B, SASRec
 C, BERT4Rec
 D, LSTM"
719,"Trong Phụ lục II, tiêu chí nào xác định tính toàn vẹn của thông điệp dữ liệu đã ký số?","A, Chứng thư chữ ký số còn hiệu lực tại thời điểm ký
 B, Mã băm của thông điệp dữ liệu trùng khớp với mã băm giải mã chữ ký
 C, Xác thực thông tin chủ thể ký
 D, Kiểm tra chứng thư số còn hoạt động tại thời điểm ký"
720,"Giải thích nguyên lý pin nhiên liệu hydro và ứng dụng trong giao thông, đồng thời nêu lợi ích và thách thức hạ tầng.","A, H₂ + O₂ → điện + nước; ưu điểm: mật độ năng lượng cao, nạp nhanh, không CO₂; ứng dụng: xe hơi, xe tải, tàu biển, hàng không; thách thức: chi phí hydro xanh, hạ tầng trạm nạp, an toàn rò rỉ
 B, Chỉ dùng trong phòng thí nghiệm, không áp dụng giao thông
 C, Phát thải CO₂ nhiều như xăng
 D, Nạp chậm, hiệu suất thấp hơn pin lithium-ion"
721,"Cơ quan kiểm tra nhà nước về chất lượng sản phẩm, hàng hóa vật liệu xây dựng ở địa phương là đơn vị nào?","A, Sở Công Thương.
 B, Sở Xây dựng
 C, Bộ Tài chính.
 D, Ủy ban nhân dân tỉnh."
722,"Theo tài liệu Public_058, đâu là một tên gọi khác của kiểm thử chức năng?","A, Kiểm thử hộp màu
 B, Kiểm thử hộp đen
 C, Kiểm thử hộp trắng
 D, Kiểm thử hộp xám"
723,Nội dung chính của văn bản Public_263 là gì?,"A, Mô tả và phân tích yêu cầu cho hệ thống web quản lí đăng kí học tín chỉ của trường đại học: xây dựng từ khóa miền, mô tả chức năng theo vai trò, quy tắc nghiệp vụ, đối tượng dữ liệu và quan hệ giữa chúng.
 B, Hướng dẫn triển khai hạ tầng bảo mật (Firewall, IDS/IPS, VPN) cho hệ thống đăng kí tín chỉ.
 C, Quy định học phí, miễn giảm và quy trình thu – nộp theo học kì.
 D, Tài liệu hướng dẫn sử dụng giao diện cho sinh viên và giảng viên."
724,"Theo số liệu trong tài liệu, đến nay ngành giáo dục đã số hóa dữ liệu của khoảng bao nhiêu giáo viên và học sinh?","A, 0,5 triệu giáo viên, 10 triệu học sinh
 B, 0,8 triệu giáo viên, 15 triệu học sinh
 C, 1,0 triệu giáo viên, 20 triệu học sinh
 D, 1,4 triệu giáo viên, 23 triệu học sinh"
725,"Theo tài liệu Public_069, những đặc điểm quan trọng nào của dữ liệu chuỗi thời gian cần được xem xét trong việc dự báo?","A, Có nhiều biến phân loại
 B, Được thu thập từ nhiều nguồn không đồng bộ
 C, Tính phụ thuộc thời gian — giá trị hiện tại phụ thuộc vào giá trị trước đó
 D, Được lưu trữ ở định dạng cột"
726,"Nếu dữ liệu chuỗi thời gian từ nhiều cảm biến tương quan với nhau được nhóm lại và nén (multi-series group compression), lợi ích nào có thể có được?","A, Giảm dung lượng lưu trữ, tăng tốc truy vấn
 B, Tăng chi phí tính toán
 C, Giảm độ chính xác vì mất thông tin chi tiết
 D, Không ảnh hưởng vì các chuỗi không liên quan"
727,Mục tiêu của tấn công DoS là gì?,"A, Ngăn người dùng hợp pháp truy cập
 B, Đánh cắp dữ liệu
 C, Tăng tốc độ hệ thống
 D, Tạo bản sao lưu"
728,"Theo tài liệu Public_002, học phần Bảo mật Web trang bị kiến thức về bộ rủi ro phổ biến nào?","A, OWASP Top 10
 B, IEEE 802.11
 C, ISO/IEC 27001
 D, NIST Cybersecurity Framework"
729,"Với hash `0160375e19e606d06f672be6e43f70fa70093d2a30031affd2929a5c446d07c1`, URL nào đã được tệp tương ứng truy cập vào ngày 03-08-2022?","A, https[:]//professional-opps[.]org/lkjob.docx
 B, https[:]//jobmarketinsights[.]info/lk_job_openings.docx
 C, https[:]//markettrendingcenter[.]com/lk_job_oppor.docx
 D, https[:]//careerupdatenews[.]net/lj_job_offer.docx"
730,Đâu là cấu trúc heap ta nên dùng nếu muốn sắp xếp mảng giảm dần?,"A, Min-heap
 B, Max-heap
 C, Avg-heap
 D, Mean-heap"
731,Cảm biến nào cung cấp bản đồ 3D chính xác cho xe tự hành?,"A, Camera RGB
 B, LiDAR
 C, Siêu âm
 D, IMU"
732,"Theo tài liệu Public_036, có bao nhiêu loại bài toán segmentation và đó là những loại nào?","A, Hai. Meaning segmentation và object segmentation
 B, Ba. Semantic segmentation, syntax segmentation và instance segmentation
 C, Hai. Semantic segmentation và instance segmentation
 D, Hai. Subjective segmentation và objective segmentation"
733,Quy chuẩn trong tài liệu Public_284 không áp dụng cho loại hàng hóa nào sau đây?,"A, Hàng hóa vật liệu xây dựng sản xuất trong nước.
 B, Hàng hóa vật liệu xây dựng nhập khẩu để nghiên cứu, thử nghiệm.
 C, Hàng hóa vật liệu xây dựng nhập khẩu để kinh doanh tại Việt Nam.
 D, Hàng hóa vật liệu xây dựng sử dụng trong các công trình xây dựng."
734,"Transactional outbox pattern lưu message ở đâu, và thành phần nào chịu trách nhiệm đọc & publish message đó?","A, Lưu ở cache memory; consumer chịu trách nhiệm publish
 B, Lưu ở outbox_table; relay publisher chịu trách nhiệm publish
 C, Lưu ở broker topic; service chính publish trực tiếp
 D, Lưu ở file log; background worker publish"
735,Nội dung chính của tài liệu Public_115 đề xuất điều gì?,"A, Giới thiệu mạng CNN truyền thống cho xử lý ảnh sáng yếu
 B, Trình bày cách dùng HSV để cải thiện chất lượng ảnh
 C, Đề xuất không gian màu HVI và mạng CIDNet để nâng cao chất lượng ảnh ánh sáng yếu
 D, Thảo luận về cảm biến camera trong môi trường ánh sáng yếu"
736,"Theo tài liệu Public_035, điều gì xảy ra nếu learning rate quá nhỏ?","A, Thuật toán hoạt động bình thường
 B, Hàm số không hội tụ
 C, Hàm số hội tụ rất chậm
 D, Hàm số hội tụ rất nhanh"
737,Một mạch có điện áp 12V và điện trở 6Ω. Hãy tính dòng điện chạy qua mạch theo định luật Ohm.,"A, 2A
 B, 4A
 C, 6A
 D, 12A"
738,"Trong heap, chỉ số node con trái và phải của node x lần lượt là? (node gốc có chỉ số 0)","A, 2i, 2i + 1
 B, 2i, 2i + 2
 C, 2i + 1, 2i + 2
 D, 2i, 3i"
739,"Làm thế nào để áp dụng thuật toán quay lui để duyệt hoặc sinh ra một số tập con K phần tử cụ thể, thay vì duyệt toàn bộ các tập con K phần tử?","A, Không
 B, Có
 C, Tùy tình huống
 D, nan"
740,Nội dung chính của phần “Giới thiệu về điện” trong tài liệu Public_033 là gì?,"A, Lịch sử các phát minh trong lĩnh vực điện
 B, Khái niệm nguyên tử, electron tự do, sự hình thành dòng điện và ba đặc tính cơ bản của điện
 C, Các định luật về từ trường
 D, Các ứng dụng hiện đại của điện"
741,"Theo tài liệu Public_010, nếu một phòng xét nghiệm thiết lập cấu trúc quản lý 5 mục tiêu và mỗi mục tiêu yêu cầu số hành động cải tiến tối thiểu theo quy định của tài liệu, tổng số hành động tối thiểu là bao nhiêu?","A, 5
 B, 10
 C, 15
 D, 20"
742,"Dựa trên tài liệu Public_051, khái niệm nào không thuộc về thuật toán sinh?","A, Cấu hình khởi đầu
 B, Cấu hình kết thúc
 C, Thuật toán chuyển cấu hình tất định
 D, Cấu hình tối ưu"
743,Ưu điểm và nhược điểm chính của RNN là gì?,"A, Ưu: Xử lý song song, Nhược: Mất thông tin ngắn hạn
 B, Ưu: Mô hình nhỏ gọn, Nhược: Tốn bộ nhớ
 C, Ưu: Ghi nhớ dài hạn, Nhược: Quá nhiều tham số
 D, Ưu: Xử lý chuỗi dài khác nhau, Nhược: Vanishing gradient, chậm, khó song song hóa"
744,"Từ các dạng tấn công (SYN Flood, Smurf, DDoS, giả mạo địa chỉ, nghe lén) được mô tả trong tài liệu Public_154, hãy rút ra nhận định tổng quan về đặc điểm của các tấn công từ chối dịch vụ và tấn công mạng.","A, Thường dựa vào một lỗi phần cứng cố định nên có thể loại bỏ triệt để bằng thay thế thiết bị
 B, Chỉ xuất hiện trên mạng LAN, hầu như không ảnh hưởng đến mạng diện rộng
 C, 
 Chủ yếu gây mất dữ liệu vĩnh viễn, ít khi làm gián đoạn dịch vụ 
 D, Khó phòng chống hoàn toàn, thường phải kết hợp nhiều biện pháp khác nhau và có thể ảnh hưởng đến hiệu năng hệ thống"
745,"Giải thích cấu trúc, nguyên lý và ứng dụng siêu vật liệu trong điều khiển sóng điện từ và mạng 6G.","A, Unit cell nhỏ hơn bước sóng, khúc xạ âm, metasurface tái cấu hình, tăng tốc terabit/giây, RIS tăng phủ sóng, bảo mật tín hiệu
 B, Siêu vật liệu chỉ để cách âm, không liên quan sóng điện từ
 C, 6G không cần siêu vật liệu
 D, Ứng dụng duy nhất là kính tiềm vọng quang học"
746,"Theo tài liệu Public_069, chuỗi thời gian được lưu trữ hiệu quả thường sử dụng hệ thống hoặc định dạng nào?","A, Relational database thông thường
 B, File văn bản CSV không nén
 C, Không định dạng timestamp chính xác
 D, Time Series Database (TSDB) hoặc định dạng columnar, hỗ trợ nén và xử lý hiệu quả"
747,Mạng máy tính được phân loại theo những tiêu chí nào và Internet ban đầu ra đời từ mục đích gì?,"A, Mạng được phân loại theo quan hệ giữa các máy và theo quy mô địa lý; Internet ban đầu ra đời từ mục đích quân sự của Bộ Quốc phòng Mỹ
 B, Mạng được phân loại theo tốc độ và dung lượng; Internet ban đầu ra đời để phục vụ thương mại điện tử
 C, Mạng được phân loại theo số lượng người dùng và chi phí; Internet ban đầu ra đời để phục vụ cho các công ty công nghệ
 D, Mạng được phân loại theo loại đường truyền và phần mềm; Internet ban đầu ra đời để phục vụ giáo dục phổ thôngComplete"
748,Nội dung chính của tài liệu là gì?,"A, Giới thiệu lịch sử phát triển ngành CNTT
 B, Mô tả vắn tắt nội dung và khối lượng các học phần bắt buộc, cơ sở và chuyên ngành trong chương trình đào tạo CNTT
 C, Phân tích xu hướng việc làm CNTT
 D, Đề xuất cải tiến phương pháp giảng dạy CNTT"
749,"Nếu phải tóm tắt toàn bộ nội dung tài liệu “Sử dụng công cụ AI thiết kế học liệu điện tử” trong một câu, ý nào phản ánh đúng nhất?","A, Tài liệu nhấn mạnh tiềm năng, lợi ích, thách thức và quy trình áp dụng AI vào thiết kế học liệu điện tử nhằm nâng cao hiệu quả giáo dục kỹ năng sống.
 B, Tài liệu mô tả sự phát triển phần mềm AI trong lĩnh vực công nghiệp quốc phòng.
 C, Tài liệu chỉ tập trung vào lịch sử hình thành học liệu truyền thống.
 D, Tài liệu khẳng định AI có thể thay thế hoàn toàn vai trò giáo viên."
750,Độ dài khóa tối thiểu của thuật toán RSA theo quy định là bao nhiêu bit?,"A, 1024 bit
 B, 2048 bit
 C, 4096 bit
 D, 512 bit"
